Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
09/03/22,8 PM,H,Louisville,"Syracuse, N.Y. | JMA Wireless Dome",ACCN,TK99/105,,"W, 31-7",Game Center
09/10/22,7 PM,A,UConn,"Storrs, CT | Rentschler Field",CBSSN,TK99/105,,"W, 48-14",Game Center
09/17/22,12 PM,H,Purdue,"Syracuse, N.Y. | JMA Wireless Dome",ESPN2,TK99/105,,"W, 32-29",Game Center
09/23/22,7 PM,H,Virginia,"Syracuse, N.Y. | JMA Wireless Dome",ESPN,TK99/105,,"W, 22-20",Game Center
10/01/22,5 PM,H,Wagner,"Syracuse, N.Y. | JMA Wireless Dome",ACCNX,TK99/105,,"W, 59-0",Game Center
10/15/22,3:30 PM,H,#15 NC State,"Syracuse, N.Y. | JMA Wireless Dome",ACCN,TK99/105,,"W, 24-9",Game Center
10/22/22,12 PM,A,#5 Clemson,"Clemson, SC | Memorial Stadium",ABC,TK99/105,,"L, 21-27",Game Center
10/29/22,12 PM,H,Notre Dame,"Syracuse, N.Y. | JMA Wireless Dome",ABC,TK99/105,,"L, 24-41",Game Center
11/05/22,3:30 PM,A,Pittsburgh,"Pittsburgh, PA | Acrisure Stadium",ACCN,TK99/105,,"L, 9-19",Game Center
11/12/22,8 PM,H,#25 Florida State,"Syracuse, N.Y. | JMA Wireless Dome",ACCN,TK99/105,,"L, 3-38",Game Center
11/19/22,8 PM,A,Wake Forest,"Winston-Salem, NC | Truist Field",ACCN,TK99/105,,"L, 35-45",Game Center
11/26/22,7:30 PM,A,Boston College,"Chestnut Hill, MA | Alumni Stadium",ACC RSN (YES locally),TK99/105,,"W, 32-23",Game Center
12/29/22,2 PM,N,Minnesota,"Bronx, N.Y. | Yankee Stadium",ESPN,TK99/105 (local) | ESPN Radio (national),Bad Boy Mowers Pinstripe Bowl,"L, 20-28",Game Center
